Interface-ID,UI-199,UI-200,UI-201,UI-202,UI-203,UI-231,UI-232,UI-241,UI-596
1,2,2,1,2,2,2,1,2,3
2,2,1,2,1,1,1,2,2,0
3,1,2,1,1,1,1,1,1,3
4,2,2,1,2,1,1,1,2,3
5,1,1,1,1,2,1,1,2,2
6,2,2,1,1,1,2,2,1,2
7,1,1,1,2,1,2,2,1,2
8,1,1,1,2,2,2,2,1,0
9,1,1,2,1,1,2,2,1,1
10,3,3,3,3,2,2,2,2,3
11,2,2,2,3,3,2,3,3,0
12,3,2,3,2,2,3,3,2,3
13,3,2,3,3,3,3,2,3,3
14,2,3,2,3,2,2,2,2,2
15,3,3,3,2,2,3,2,3,2
16,3,2,2,3,3,3,2,2,0
17,2,3,3,3,3,3,3,2,0
18,3,2,2,2,3,2,2,2,1
19,2,2,2,2,3,2,2,2,3
20,3,3,4,4,3,4,3,3,0
21,4,4,3,4,4,4,3,4,1
22,4,3,3,3,3,3,4,4,3
23,4,3,4,4,3,4,3,3,0
24,4,4,4,3,3,3,3,4,0
25,3,3,4,4,3,4,4,3,2
26,3,4,3,3,4,3,4,4,1
27,3,3,4,4,4,4,4,3,2
28,3,3,4,4,3,4,3,3,0
29,3,4,4,3,4,3,3,3,0
30,4,5,4,4,5,4,5,5,2
31,4,4,4,5,4,5,5,5,3
32,4,5,4,4,5,5,4,5,1
33,4,5,5,5,4,5,4,4,0
34,4,5,4,4,5,5,4,4,2
35,4,5,5,4,4,4,5,4,1
36,4,4,5,4,4,5,4,5,2
37,5,5,4,5,4,5,4,4,1
38,4,4,5,5,4,5,5,4,1
39,4,4,5,4,5,4,4,5,2
40,5,6,5,5,5,5,5,5,4
41,6,5,6,6,5,5,5,6,5
42,5,5,5,6,6,5,6,5,5
43,6,6,6,6,5,5,6,5,6
44,5,5,6,5,5,6,6,6,5
45,5,5,6,5,5,6,5,6,5
46,5,5,6,6,6,5,5,6,4
47,5,6,5,5,6,6,5,5,4
48,5,6,5,5,6,5,6,5,4
49,5,5,6,6,6,5,5,5,6
50,6,7,6,7,6,7,7,6,6
51,7,7,7,6,7,6,6,7,4
52,7,7,6,7,7,7,7,7,6
53,6,7,6,7,6,7,7,7,4
54,7,7,7,6,7,6,7,7,6
55,7,6,6,6,7,7,7,7,5
56,7,6,7,7,7,7,7,6,6
57,7,6,6,7,6,6,6,7,6
58,7,6,7,6,6,7,6,6,5
59,7,6,6,7,6,6,7,7,4
60,8,7,7,7,7,7,7,8,6
61,7,8,8,7,8,8,7,7,4
62,7,8,8,7,7,7,7,7,4
63,8,8,8,7,7,7,7,7,6
64,8,7,7,7,7,7,8,7,6
65,8,7,8,7,7,8,8,8,6
66,7,7,7,7,7,7,8,8,5
67,8,7,8,8,8,7,8,8,5
68,7,8,7,8,8,8,8,7,4
69,8,7,7,8,7,8,7,8,4
70,8,8,8,8,8,8,9,8,8
71,8,8,8,8,8,8,8,9,5
72,9,8,9,9,8,8,9,9,7
73,8,8,8,8,8,9,9,8,7
74,8,9,9,8,8,8,9,8,5
75,9,9,9,9,9,9,9,8,7
76,9,8,8,8,8,8,9,9,5
77,9,8,9,8,9,8,9,8,6
78,9,8,9,8,8,9,8,8,5
79,8,8,9,9,9,9,8,8,8
80,9,10,9,10,9,9,10,9,8
81,9,9,9,10,9,9,9,9,5
82,9,9,10,10,9,9,9,10,7
83,9,10,10,9,10,9,9,10,6
84,10,10,10,9,10,9,9,10,7
85,10,10,10,10,9,9,9,10,8
86,9,10,9,9,10,9,9,9,7
87,10,10,10,10,10,10,9,10,6
88,9,9,9,9,9,9,10,9,8
89,9,9,9,10,9,9,9,10,5
90,,,,,,,,,
91,,,,,,,,,
92,,,,,,,,,
93,,,,,,,,,
94,,,,,,,,,
95,,,,,,,,,
96,,,,,,,,,
97,,,,,,,,,
98,,,,,,,,,
99,,,,,,,,,
100,,,,,,,,,
101,,,,,,,,,
102,,,,,,,,,
103,,,,,,,,,
